datetime,Open,High,Low,Close,Volume,SMA9,SMA50,SMA9_gt_SMA50,SMA_Signal,Position,Entry_Price,PnL,Trade_Id,Trade_Result,Capital,Position_Size,Risk_Amount,Stop_Loss,Take_Profit,Date,Daily_Return,Cummax,Drawdown
2025-04-20 11:35:00,84105.0,84136.0,84057.0,84076.0,8.93343715,84120.55555555556,84492.62,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,,200.0,0.0
2025-04-20 11:40:00,84076.0,84093.0,84033.0,84045.0,0.7922928,84108.44444444444,84479.64,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 11:45:00,84043.0,84048.0,84004.0,84034.0,6.24535005,84099.33333333333,84465.18,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 11:50:00,84027.0,84057.0,84011.0,84055.0,0.23876892,84088.77777777778,84451.4,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 11:55:00,84063.0,84125.0,84063.0,84125.0,4.065209100000001,84076.33333333333,84437.4,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:00:00,84124.0,84265.0,84124.0,84252.0,13.424917050000001,84085.88888888889,84426.6,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:05:00,84252.0,84316.0,84209.0,84261.0,2.71878889,84111.0,84416.0,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:10:00,84249.0,84306.0,84241.0,84306.0,0.049158770000000004,84139.88888888889,84407.0,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:15:00,84306.0,84307.0,84276.0,84305.0,0.06101749,84162.11111111111,84398.54,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:20:00,84305.0,84368.0,84305.0,84368.0,2.7855767499999997,84194.55555555556,84390.64,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:25:00,84368.0,84398.0,84334.0,84398.0,1.9754359799999999,84233.77777777778,84384.12,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:30:00,84398.0,84459.0,84391.0,84459.0,3.7079363899999995,84281.0,84378.94,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:35:00,84469.0,84479.0,84390.0,84390.0,0.7528484799999999,84318.22222222222,84373.18,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
2025-04-20 12:40:00,84389.0,84389.0,84335.0,84368.0,0.5383647899999999,84345.22222222222,84367.6,False,False,0,0.0,0.0,0,0,200.0,0.0,0.0,0.0,0.0,2025-04-20,0.0,200.0,0.0
